Calibration Results:
Dot Index, Expected (X,Y), Measured (X,Y), Distance
0, (-0.6, -0.5), (-0.6495268016528926, -0.3882532148760331), 0.12
1, (0.6, -0.5), (0.63868306, -0.38779043), 0.12
2, (-0.6, 0.5), (-0.6133168235294117, 0.6053711008403362), 0.11
3, (0.6, 0.5), (0.6309907789473684, 0.6179922947368421), 0.12
4, (0.0, -0.5), (-0.007814056140350877, -0.4397162894736842), 0.06
5, (0.0, 0.5), (0.005958913635514019, 0.5692056355140187), 0.07
6, (0.0, 0.0), (0.0031464677884615387, 0.021934949134615387), 0.02
7, (-0.6, 0.0), (-0.623336637254902, 0.05281212941176471), 0.06
8, (0.6, 0.0), (0.6267765200000001, 0.079904379), 0.08
9, (-0.6, -0.25), (-0.6471300181818183, -0.16433340000000002), 0.10
10, (0.6, -0.25), (0.632273889908257, -0.1689829724770642), 0.09
11, (-0.6, 0.25), (-0.6074032795698925, 0.3051749139784946), 0.06
12, (0.6, 0.25), (0.632579, 0.3210562823529412), 0.08
13, (-0.3, -0.25), (-0.3399213092783505, -0.19795380412371136), 0.07
14, (0.3, -0.25), (0.33476155434782606, -0.22297733695652175), 0.04
15, (-0.3, 0.25), (-0.30554602362204725, 0.30880611023622045), 0.06
16, (0.3, 0.25), (0.31462466666666666, 0.30910004), 0.06
