Calibration Results:
Dot Index, Expected (X,Y), Measured (X,Y), Distance
0, (-0.6, -0.5), (-0.7027214354838709, -0.37877495161290325), 0.16
1, (0.6, -0.5), (0.6440049736842105, -0.38832998245614037), 0.12
2, (-0.6, 0.5), (-0.6140543085106384, 0.564556), 0.07
3, (0.6, 0.5), (0.6203509090909091, 0.5952473939393939), 0.10
4, (0.0, -0.5), (0.0005395336629213484, -0.4594046067415731), 0.04
5, (0.0, 0.5), (-3.3922646428571436e-05, 0.49046394047619046), 0.01
6, (0.0, 0.0), (0.007393348670731707, -0.05166739768292683), 0.05
7, (-0.6, 0.0), (-0.6339736976744186, 0.030885077209302326), 0.05
8, (0.6, 0.0), (0.6033302765957447, 0.07703447021276595), 0.08
9, (-0.6, -0.25), (-0.6586154583333333, -0.1793829375), 0.09
10, (0.6, -0.25), (0.6093719504950496, -0.1757890396039604), 0.07
11, (-0.6, 0.25), (-0.6341992027027027, 0.25691378378378377), 0.03
12, (0.6, 0.25), (0.55554, 0.3799423333333333), 0.14
13, (-0.3, -0.25), (-0.3528518875, -0.22557008750000002), 0.06
14, (0.3, -0.25), (0.3269248108108108, -0.21589383783783783), 0.04
15, (-0.3, 0.25), (-0.31448723255813954, 0.25847960465116276), 0.02
16, (0.3, 0.25), (0.3103478452380952, 0.33545110714285714), 0.09
