Gaze point: [-0.104101, 0.5189]
Gaze point: [-0.10261, 0.515837]
Gaze point: [-0.0902611, 0.514639]
Gaze point: [-0.0651461, 0.513897]
Gaze point: [-0.0369716, 0.512013]
Gaze point: [-0.0146667, 0.511268]
Gaze point: [0.00291967, 0.508472]
Gaze point: [0.0170658, 0.505919]
Gaze point: [0.0267286, 0.507602]
Gaze point: [0.0725057, 0.513992]
Gaze point: [0.132239, 0.513908]
Gaze point: [0.178766, 0.514026]
Gaze point: [0.209389, 0.515488]
Gaze point: [0.229226, 0.516744]
Gaze point: [0.241663, 0.517403]
Gaze point: [0.250025, 0.519369]
Gaze point: [0.256056, 0.5199]
Gaze point: [0.263912, 0.519898]
Gaze point: [0.29297, 0.516121]
Gaze point: [0.323733, 0.519177]
Gaze point: [0.346586, 0.522277]
Gaze point: [0.360636, 0.524235]
Gaze point: [0.370729, 0.526885]
Gaze point: [0.381671, 0.523572]
Gaze point: [0.393151, 0.523389]
Gaze point: [0.397503, 0.525749]
Gaze point: [0.401388, 0.529819]
Gaze point: [0.403331, 0.531494]
Gaze point: [0.405559, 0.532424]
Gaze point: [0.408288, 0.531398]
Gaze point: [0.409223, 0.530484]
Gaze point: [0.4092, 0.531415]
Gaze point: [0.409401, 0.531784]
Gaze point: [0.410041, 0.532703]
Gaze point: [0.41047, 0.531671]
Gaze point: [0.411121, 0.53304]
Gaze point: [0.41178, 0.534602]
Gaze point: [0.412422, 0.536115]
Gaze point: [0.412786, 0.536988]
Gaze point: [0.412534, 0.535801]
Gaze point: [0.404922, 0.530348]
Gaze point: [0.323138, 0.505249]
Gaze point: [0.128003, 0.490952]
Gaze point: [-0.0733787, 0.483202]
Gaze point: [-0.194155, 0.471806]
Gaze point: [-0.279021, 0.443744]
Gaze point: [-0.339739, 0.424847]
Gaze point: [-0.370284, 0.407117]
Gaze point: [-0.386906, 0.396987]
Gaze point: [-0.392296, 0.392923]
Gaze point: [-0.398055, 0.39415]
Gaze point: [-0.399757, 0.390304]
Gaze point: [-0.399695, 0.392017]
Gaze point: [-0.400437, 0.385907]
Gaze point: [-0.403302, 0.383484]
Gaze point: [-0.403594, 0.380044]
Gaze point: [-0.389061, 0.378255]
Gaze point: [-0.378594, 0.37755]
Gaze point: [-0.363092, 0.379272]
Gaze point: [-0.343269, 0.380342]
Gaze point: [-0.32306, 0.380302]
Gaze point: [-0.306766, 0.378412]
Gaze point: [-0.290995, 0.383661]
Gaze point: [-0.278519, 0.388924]
Gaze point: [-0.269475, 0.390913]
Gaze point: [-0.263004, 0.388775]
Gaze point: [-0.256953, 0.395232]
Gaze point: [-0.239796, 0.395831]
Gaze point: [-0.205208, 0.393506]
Gaze point: [-0.19192, 0.389586]
Gaze point: [-0.179937, 0.383616]
Gaze point: [-0.17268, 0.380935]
Gaze point: [-0.167488, 0.377044]
Gaze point: [-0.163295, 0.373376]
Gaze point: [-0.141814, 0.372297]
Gaze point: [-0.108731, 0.372135]
Gaze point: [-0.0758749, 0.371305]
Gaze point: [-0.0474068, 0.3722]
Gaze point: [-0.0261751, 0.375365]
Gaze point: [-0.0111049, 0.378087]
Gaze point: [-0.00289738, 0.376094]
Gaze point: [0.0152884, 0.37418]
Gaze point: [0.0527737, 0.381162]
Gaze point: [0.0857074, 0.390043]
Gaze point: [0.108619, 0.396393]
Gaze point: [0.123151, 0.400102]
Gaze point: [0.135597, 0.40552]
Gaze point: [0.144037, 0.405885]
Gaze point: [0.149573, 0.405619]
Gaze point: [0.154976, 0.404583]
Gaze point: [0.191146, 0.403213]
Gaze point: [0.229936, 0.411273]
Gaze point: [0.259861, 0.417136]
Gaze point: [0.280851, 0.415571]
Gaze point: [0.295286, 0.41284]
Gaze point: [0.306234, 0.409605]
Gaze point: [0.314922, 0.414139]
Gaze point: [0.330261, 0.41438]
Gaze point: [0.359616, 0.412397]
Gaze point: [0.382322, 0.412352]
Gaze point: [0.397794, 0.40834]
Gaze point: [0.413306, 0.409412]
Gaze point: [0.425236, 0.413583]
Gaze point: [0.433632, 0.413516]
Gaze point: [0.439638, 0.41073]
Gaze point: [0.44301, 0.406264]
Gaze point: [0.444732, 0.409099]
Gaze point: [0.446272, 0.41182]
Gaze point: [0.447578, 0.41054]
Gaze point: [0.448217, 0.410889]
Gaze point: [0.45151, 0.411778]
Gaze point: [0.452523, 0.41003]
Gaze point: [0.439821, 0.40367]
Gaze point: [0.312358, 0.389334]
Gaze point: [0.0495319, 0.374028]
Gaze point: [-0.146121, 0.366722]
Gaze point: [-0.248012, 0.3554]
Gaze point: [-0.288835, 0.370259]
Gaze point: [-0.318453, 0.363835]
Gaze point: [-0.344487, 0.33719]
Gaze point: [-0.375953, 0.313584]
Gaze point: [-0.395447, 0.294648]
Gaze point: [-0.407369, 0.288459]
Gaze point: [-0.415628, 0.277264]
Gaze point: [-0.418465, 0.270403]
Gaze point: [-0.420439, 0.266205]
Gaze point: [-0.423303, 0.26328]
