Gaze point: [0.0938243, -0.841195]
Gaze point: [0.0928262, -0.839675]
Gaze point: [0.0946723, -0.824754]
Gaze point: [0.0531682, -0.697374]
Gaze point: [-0.0980307, -0.284715]
Gaze point: [-0.173804, 0.0508682]
Gaze point: [-0.194692, 0.2359]
Gaze point: [-0.199754, 0.227799]
Gaze point: [-0.224414, 0.303826]
Gaze point: [-0.290495, 0.44569]
Gaze point: [-0.314964, 0.517348]
Gaze point: [-0.317756, 0.528654]
Gaze point: [-0.313429, 0.541291]
Gaze point: [-0.312639, 0.547194]
Gaze point: [-0.315436, 0.54681]
Gaze point: [-0.31732, 0.545508]
Gaze point: [-0.315981, 0.543646]
Gaze point: [-0.315878, 0.546578]
Gaze point: [-0.315831, 0.551]
Gaze point: [-0.316623, 0.551451]
Gaze point: [-0.316118, 0.55377]
Gaze point: [-0.316406, 0.556676]
Gaze point: [-0.316862, 0.557718]
Gaze point: [-0.316774, 0.55868]
Gaze point: [-0.314865, 0.562543]
Gaze point: [-0.312091, 0.561732]
Gaze point: [-0.310306, 0.560871]
Gaze point: [-0.308239, 0.561314]
Gaze point: [-0.306066, 0.56206]
Gaze point: [-0.303991, 0.560924]
Gaze point: [-0.30144, 0.559038]
Gaze point: [-0.299885, 0.559039]
Gaze point: [-0.297765, 0.560267]
Gaze point: [-0.289629, 0.557326]
Gaze point: [-0.278988, 0.554026]
Gaze point: [-0.268369, 0.550409]
Gaze point: [-0.260617, 0.554102]
Gaze point: [-0.255383, 0.558903]
Gaze point: [-0.249865, 0.561005]
Gaze point: [-0.237805, 0.560421]
Gaze point: [-0.21213, 0.559301]
Gaze point: [-0.188223, 0.558613]
Gaze point: [-0.170447, 0.557859]
Gaze point: [-0.156633, 0.559325]
Gaze point: [-0.144102, 0.559699]
Gaze point: [-0.134278, 0.551661]
Gaze point: [-0.125988, 0.55177]
Gaze point: [-0.117462, 0.564593]
Gaze point: [-0.108109, 0.574697]
Gaze point: [-0.0958103, 0.580996]
Gaze point: [-0.085131, 0.585791]
Gaze point: [-0.0770132, 0.588261]
Gaze point: [-0.0710603, 0.591826]
Gaze point: [-0.0653326, 0.590796]
Gaze point: [-0.0614406, 0.592041]
Gaze point: [-0.058378, 0.589621]
Gaze point: [-0.056446, 0.58723]
Gaze point: [-0.0547433, 0.586113]
Gaze point: [-0.0537267, 0.583465]
Gaze point: [-0.0521207, 0.582443]
Gaze point: [-0.0505543, 0.582757]
Gaze point: [-0.0492697, 0.581737]
Gaze point: [-0.0435556, 0.584013]
Gaze point: [-0.0354635, 0.586274]
Gaze point: [-0.0285789, 0.584037]
Gaze point: [-0.0226161, 0.58333]
Gaze point: [-0.0177523, 0.583355]
Gaze point: [-0.0134372, 0.582244]
Gaze point: [-0.00961363, 0.582722]
Gaze point: [-0.00613022, 0.582202]
Gaze point: [0.00018084, 0.58211]
Gaze point: [0.0109216, 0.583083]
Gaze point: [0.0213438, 0.582915]
Gaze point: [0.0289598, 0.583368]
Gaze point: [0.0353041, 0.581915]
Gaze point: [0.0408399, 0.583349]
Gaze point: [0.0451488, 0.584336]
Gaze point: [0.0484381, 0.585546]
Gaze point: [0.0518901, 0.587525]
Gaze point: [0.0547147, 0.590301]
Gaze point: [0.0574164, 0.590853]
Gaze point: [0.0663962, 0.595812]
Gaze point: [0.0781775, 0.598621]
Gaze point: [0.0888338, 0.596738]
Gaze point: [0.0987792, 0.59981]
Gaze point: [0.114174, 0.608616]
Gaze point: [0.119003, 0.606257]
Gaze point: [0.130591, 0.6035]
Gaze point: [0.145723, 0.606556]
Gaze point: [0.158221, 0.608957]
Gaze point: [0.166831, 0.612657]
Gaze point: [0.172216, 0.615462]
Gaze point: [0.176506, 0.613213]
Gaze point: [0.180722, 0.612417]
Gaze point: [0.184717, 0.614428]
Gaze point: [0.189014, 0.617505]
Gaze point: [0.19224, 0.616948]
Gaze point: [0.202097, 0.615763]
Gaze point: [0.214437, 0.615116]
Gaze point: [0.225433, 0.613168]
Gaze point: [0.23249, 0.611066]
Gaze point: [0.238343, 0.611702]
Gaze point: [0.243702, 0.616904]
Gaze point: [0.247105, 0.615993]
Gaze point: [0.250096, 0.614439]
Gaze point: [0.252393, 0.614741]
Gaze point: [0.254929, 0.615197]
